uniq_id,crawl_timestamp,job_title,company_name,post_date,job_type,inferred_salary_time_unit,salary_offered,job_board,geo,job_post_lang,valid_through,postdate_yyyymmdd,last_expiry_check_date,latest_expiry_check_date,duplicate_status,postdate_in_indexname_format,inferred_city,inferred_state,inferred_country,fitness_score,inferred_salary_from,inferred_salary_to,inferred_salary_currency,is_consumed_job,job_requirements,contact_email,test_contact_email,post_date_unix_time,postal_code
9a457ef257fecf231693a6ba08f50293,2020-06-26 01:54:03 +0000,Asphalt/Concrete Senior Project Manager,GPAC,2020-06-25,Full-Time,/,"$99,642.00",careerbuilder,usa,en-us,2020-07-24,20200625,2020.06.26,2020-06-26,,2020.06.22,Houston,Texas,United states,10,,,,,,,,1593043200,43961
ba471e2faf6f79caf22cddebbedbc0e8,2020-05-17 01:21:05 +0000,Amazon Warehouse Team - Full Time,Amazon Fulfillment,2020-05-16,Full-Time,/,"$58,626.00",careerbuilder,usa,en-us,2020-06-15,20200516,2020.05.17,2020-05-17,,2020.05.11,Cincinnati,Ohio,United states,10,,,,,,,,1589587200,50467
6f00bd02d63c633b5af453366f25c21e,2020-06-27 04:53:42 +0000,Amazon Warehouse Associate - Morning Shifts Available,Amazon Fulfillment,2020-06-26,Full-Time,/,"$67,450.00",careerbuilder,usa,en-us,2020-07-25,20200626,2020.06.27,2020-06-27,,2020.06.22,Peabody,Massachusetts,United states,10,,,,,,,,1593129600,42620
8ad0d00bfa23cfd7b7c364b8ae72085f,2020-06-03 01:21:32 +0000,Assembly Electrical,Manpower,2020-06-02,Full-Time,/hour,"$47,467.00",careerbuilder,usa,en-us,2020-07-01,20200602,2020.06.03,2020-06-03,,2020.06.01,Villard,Minnesota,United states,10,14.00,14.00,$,,,,,1591056000,97275
31753dc342a1b2a07db712454c0d5f87,2020-05-23 01:19:07 +0000,Graphics Designer,The North West Company - U.S.,2020-05-22,Full-Time,/,"$136,684.00",careerbuilder,usa,en-us,2020-06-21,20200522,2020.05.23,2020-05-23,,2020.05.22,Anchorage,Alaska,United states,10,,,,,,,,1590105600,37765
d8bbd27764ff850f5cd05dfa3289ff66,2020-05-25 10:04:56 +0000,"Customer Service Representative, Full or Part Time",Circle K,2020-05-24,Full-Time,/,"$142,796.00",careerbuilder,usa,en-us,2020-06-23,20200524,2020.05.25,2020-05-25,,2020.05.22,Urbana,Illinois,United states,10,,,,,,,,1590278400,16152
b716cdee3b40360f88be08b4cc75d598,2020-05-23 01:13:40 +0000,Receptionist,Genesis Healthcare Corporation,2020-05-22,Per Diem,/,"$129,869.00",careerbuilder,usa,en-us,2020-06-21,20200522,2020.05.23,2020-05-23,,2020.05.22,,New jersey,United states,10,,,,,,,,1590105600,06009
94e46cabddc4e30277870061fc6a06ea,2020-06-25 01:48:48 +0000,U-Haul Moving Center General Manager,Talentify,2020-06-24,Full-Time,/,"$129,477.00",careerbuilder,usa,en-us,2020-07-23,20200624,2020.06.25,2020-06-25,,2020.06.22,Gretna,Louisiana,United states,10,,,,,,,,1592956800,42948
e7da38a3d35f799fd532590c5137e65c,2020-05-18 01:07:37 +0000,Staff Accountant,Volt,2020-05-17,Full-Time,/,"$132,072.00",careerbuilder,usa,en-us,2020-06-16,20200517,2020.05.18,2020-05-18,,2020.05.11,Stockton,California,United states,10,,,,,,,,1589673600,44841
6248457c6236cce48b3277bddfc8b8a6,2020-05-29 01:16:51 +0000,Package Handler (Non-DOT)/Part Time/PM Shift/Sunday 6:00PM-11:30PM/Monday through Friday 6:30PM-11:30PM/$13.26 per hour,FedEx,2020-05-28,Part-Time,/,"$124,602.00",careerbuilder,usa,en-us,2020-06-27,20200528,2020.05.29,2020-05-29,,2020.05.22,Tampa,Florida,United states,10,,,,,,,,1590624000,42032
9fb98dc3645c15f06efb7c9cc1048913,2020-05-16 02:14:52 +0000,Phlebotomist,CSL Plasma,2020-05-15,Full-Time,/,"$135,300.00",careerbuilder,usa,en-us,2020-06-14,20200515,2020.05.16,2020-05-16,,2020.05.11,Tulsa,Oklahoma,United states,10,,,,,,,,1589500800,33665
b8cc71d65b888b8e6bc4bc3d0ce46d55,2020-04-29 05:35:28 +0000,Bilingual Armenian/English Phone/Video Interpreter,LanguageLine Solutions,2020-04-28,Full-Time/Part-Time,/,"$26,629.00",careerbuilder,usa,en-us,2020-05-27,20200428,2020.04.29,2020-04-29,,2020.04.22,Seattle,Washington,United states,10,,,,,,,,1588032000,57146
4df85e1c64a81a700dc6641b50ec39fa,2020-05-19 00:58:52 +0000,Customer Service - New Path for Customer Service Reps,Bankers Life,2020-05-18,Full-Time,/year,"$75,838.00",careerbuilder,usa,en-us,2020-06-17,20200518,2020.05.19,2020-05-19,,2020.05.11,Hagerstown,Maryland,United states,10,"41,000.00","62,000.00",$,,,,,1589760000,94507
78f0125002cec9297237427fed1598c8,2020-06-18 01:31:06 +0000,Professional Land Surveyor (PLS),GPAC,2020-06-17,Full-Time,/,"$117,248.00",careerbuilder,usa,en-us,2020-07-16,20200617,2020.06.18,2020-06-18,,2020.06.11,Long beach,California,United states,10,,,,,,,,1592352000,75168
8aef53721addca0e3ca5592d8f3d219a,2020-06-03 01:49:05 +0000,Full-Time Manager Trainee SIGNING/RETENTION BONUS,84 Lumber,2020-06-02,Full-Time,/,"$124,208.00",careerbuilder,usa,en-us,2020-07-01,20200602,2020.06.03,2020-06-03,,2020.06.01,Keyser,West virginia,United states,10,,,,,,,,1591056000,03535
fcc0f91b911e7e46b17dd19e6d94d682,2020-06-19 01:23:01 +0000,Customer Service Rep I,Rose International,2020-06-18,Full-Time,/,"$51,467.00",careerbuilder,usa,en-us,2020-07-17,20200618,2020.06.19,2020-06-19,,2020.06.11,Coral springs,Florida,United states,10,,,,,,,,1592438400,18067
fad21a60dc074f4541856ad72788bb6e,2020-05-30 02:22:11 +0000,Embedded Software Engineer,Aerotek,2020-05-29,Full-Time,/,"$75,409.00",careerbuilder,usa,en-us,2020-06-28,20200529,2020.05.30,2020-05-30,,2020.05.22,Seattle,Washington,United states,10,,,,,,,,1590710400,12340
b3d1e462e7c5b1df75f08c86f68e64fc,2020-05-20 01:04:02 +0000,"Warehouse Laborer - $2,000 Sign-on Bonus",Amazon Fulfillment,2020-05-19,Full-Time,/,"$110,303.00",careerbuilder,usa,en-us,2020-06-18,20200519,2020.05.20,2020-05-20,,2020.05.11,,New jersey,United states,10,,,,,,,,1589846400,95666
d0bf807f8049cab4582fefcf19775aa2,2020-04-29 02:09:26 +0000,Bilingual Chin Matu/English Phone/Video Interpreter,LanguageLine Solutions,2020-04-28,Full-Time/Part-Time,/,"$61,594.00",careerbuilder,usa,en-us,2020-05-27,20200428,2020.04.29,2020-04-29,,2020.04.22,Fountain,Colorado,United states,10,,,,,,,,1588032000,15161
